ID	Type	Q1	Q2	Q3	Q4	Q5	Q6	TOTAL	TABLE_ID
A115	C	0.5	0	0	0.5	0	0	1	P33
A171	C	1	1	1	1	1	0	5	P27
A195	W	1	0	0.5	0.5	0	0	2	P48
A290	C	1	0.5	1	1	0	0.5	4	P24
A317	C	1	0	1	1	0	0	3	P25
A330	J	1	0	0.5	1	0	0	2.5	P42
A85	C	1	1	1	1	0	0	4	P34
BSN4	C	1	0	0	1	0	0.5	2.5	P49
FSN4	C	1	0	0	0.5	0	1	2.5	P26
FSN7	C	1	0.5	0.5	1	0	0	3	P15
I1162	C	1	0.5	1	1	0.5	1	5	P61
I1288	C	1	1	1	1	1	0.5	5.5	P06
I169	C	0.5	0	0.5	0.5	0	0	1.5	P28
I253	C	1	0	0.5	0.5	0	0	2	P29
I256	C	1	0.5	1	1	0.5	0	4	P30
i277	C	1	1	1	1	0	0	4	P35
I35	C	0.5	0	0.5	1	0	0	2	P17
I384	C	1	0.5	1	1	0	0.5	4	P39
I564	C	0.5	0	0.5	1	0	0	2	P43
I565	C	1	0	0	1	0	0	2	P44
I646	W	1	0	0.5	1	0	0	2.5	P50
I659	C	1	0	0	1	0	0.5	2.5	P51
I672	C	1	0.5	0.5	0.5	0	0	2.5	P52
I717	C	1	0	0.5	1	0	0	2.5	P53
I780	C	0.5	0	0.5	1	0	0	2	P55
I944	C	0.5	0	0.5	1	0	0	2	P58
I955	C	0.5	0	0.5	0.5	0	0	1.5	P07
I977	C	1	0.5	0.5	0.5	0	0	2.5	P59
N1	J	1	1	1	1	0.5	0.5	5	P03
N10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	T16
N2	C	1	1	1	1	0	0.5	4.5	P01
N3	J	1	1	0.5	1	0	0	3.5	P04
N4	C	1	0.5	0.5	0.5	0	0	2.5	P02
N5	C	1	0	0.5	1	0	0	2.5	P14
N6	W	1	1	0.5	1	0.5	0.5	4.5	P08
N7	W	1	0.5	1	1	0	0	3.5	P09
N8	C	1	0	1	1	0	0	3	P10
N9	J	1	0.5	1	1	0	1	4.5	P05
PN1	J	1	0.5	0.5	1	0	0	3	P38
PN2	C	1	0.5	0.5	0.5	0	0	2.5	P54
S1122	C	1	1	1	1	1	0	5	P56
S119	C	1	0	0.5	1	0	1	3.5	P18
S1379	C	0.5	0	0.5	1	0	0	2	P57
S197	C	0.5	0.5	0	1	0	0	2	P22
S2115	W	0.5	0	0	1	0	1	2.5	P62
S369	C	1	0.5	0.5	1	0	1	4	P31
S4	J	1	0	0.5	1	0	0	2.5	P11
S434	C	1	0	0.5	1	0	0.5	3	P36
S507	C	0.5	0	0.5	1	0	1	3	P37
S652	J	1	0	0.5	1	0	0.5	3	P45
S704	J	1	0.5	1	1	0	0	3.5	P40
S79	W	1	0	0	1	0	0.5	2.5	P19
T1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	T08
T10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	T19
T15	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	T13
T17	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	T10
T19	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	T01
T2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	T09
T22	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	T04
T29	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	T18
T3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	T07
T38	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	T02
T4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	T06
T45	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	T03
T46	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	T17
T5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	T12
T50	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	T11
T6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	T05
T7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	T15
T8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	T14
W17	J	1	1	1	1	0.5	0	4.5	P16
W21	J	1	1	1	1	0	0.5	4.5	P21
W255	J	0.5	0	1	1	0.5	1	4	P46
W262	J	1	0	1	1	0	0	3	P47
W263	J	1	1	1	1	0	0.5	4.5	P41
W27	J	1	0	0.5	1	0	0.5	3	P20
W4	J	1	0	1	1	0	0	3	P12
W559	J	1	0.5	1	1	0	0.5	4	P60
W7	J	1	1	1	1	0	0	4	P13
W734	C	0	0	0.5	1	0	0.5	2	P63
W9	J	1	1	1	1	1	1	6	P23
W98	J	1	0.5	0	1	0	1	3.5	P32
